lineup,minutes,points_scored,2_pointers_made,3_pointers_made,free_throws_made,assists,rebounds,blocks,steals,turnovers,fouls,points_allowed
1627783_1627832_200768_201586_201980,186.98,451.0,113,57,54,126,407,24,26,118,61,390.0
1627783_1627832_201586_201980_202695,186.37,473.0,120,47,92,92,419,22,15,106,71,419.0
1627783_200768_201188_201980_202695,160.58,413.0,103,52,51,110,330,13,31,113,52,366.0
1627783_200768_201586_201980_202695,546.27,1315.0,368,131,186,304,1261,62,90,372,205,1207.0
1627783_200768_201942_201960_202685,363.93,753.0,250,51,100,147,745,32,62,269,140,836.0
1627783_200768_201980_202685_202695,139.8,368.0,102,35,59,80,326,11,26,103,61,300.0
1627785_201572_202344_202711_203930,178.73,402.0,115,35,67,82,392,16,22,146,72,420.0
1627812_1628372_1717_202083_203084,130.13,290.0,71,36,40,54,292,6,18,90,46,323.0
1627812_1628372_202083_203084_203939,126.67,302.0,68,35,61,56,292,8,31,107,61,271.0
1627812_1717_200826_203939_2734,232.13,539.0,148,53,84,140,536,8,33,197,83,427.0
1627812_1717_202083_203084_203552,256.78,566.0,150,69,59,136,551,10,39,172,79,547.0
1627826_1628983_1629013_201568_201976,254.33,598.0,150,72,82,147,555,24,45,199,110,552.0
1627827_1628372_1629029_201599_203084,134.23,290.0,68,35,49,51,324,12,26,105,63,286.0
1627827_1628467_200826_203939_2734,107.97,270.0,66,29,51,53,271,16,21,94,42,238.0
1627827_1717_200826_203939_2734,146.35,342.0,90,36,54,79,368,11,17,121,65,342.0
1627832_200768_201586_201942_202685,100.53,271.0,60,28,67,44,229,5,9,47,41,224.0
1627835_200765_201577_202703_202710,135.65,334.0,99,29,49,82,291,14,22,97,37,268.0
1627853_1628976_203200_203897_203953,228.58,489.0,141,45,72,117,545,25,44,178,98,505.0
1627854_1628401_200746_200752_201942,386.95,873.0,293,60,107,216,800,34,57,272,148,832.0
1627854_1628401_200746_201942_202722,137.35,356.0,109,30,48,82,273,18,23,79,44,286.0
1627854_200746_200752_201942_201967,168.73,368.0,133,22,36,79,377,10,29,113,68,389.0
1627854_200746_200752_201942_201988,115.08,263.0,82,19,42,52,273,13,14,62,39,244.0
1627863_200782_201569_201935_203991,129.38,312.0,64,43,55,52,321,16,23,110,60,274.0
1627863_200782_201935_203085_203991,121.53,292.0,41,46,72,49,276,9,18,94,47,301.0
1628366_1628398_1628404_201580_2544,133.58,329.0,99,32,35,80,318,26,30,104,51,285.0
1628366_1628398_201572_203484_203944,216.77,457.0,117,50,73,102,502,21,24,148,90,496.0
1628369_201143_202681_202694_203935,529.53,1299.0,360,154,117,313,1162,54,91,375,215,1217.0
1628369_201143_202681_203382_203935,135.37,306.0,75,40,36,65,295,17,20,97,50,273.0
1628371_1628411_201571_202696_203082,100.75,234.0,58,27,37,52,226,7,16,54,34,233.0
